Bill_ID,Amount,Customer_ID
117,377.76,customer_86@gmail.com
118,507.52,customer_310@gmail.com
119,444.97,customer_84@gmail.com
120,451.28,customer_686@gmail.com
121,504.27,customer_135@gmail.com
122,600.73,customer_609@gmail.com
123,375.44,customer_473@gmail.com
124,484.51,customer_506@gmail.com
125,317.63,customer_504@gmail.com
126,274.88,customer_491@gmail.com
127,306.16,customer_363@gmail.com
128,327.3,customer_61@gmail.com
129,385.24,customer_546@gmail.com
130,657.43,customer_277@gmail.com
131,377.86,customer_153@gmail.com
132,347.52,customer_18@gmail.com
133,258.45,customer_377@gmail.com
134,296.49,customer_395@gmail.com
135,533.53,customer_644@gmail.com
136,232.12,customer_360@gmail.com
137,490.95,customer_656@gmail.com
138,598.02,customer_681@gmail.com
139,346.86,customer_680@gmail.com
140,529.35,customer_286@gmail.com
141,630.14,customer_357@gmail.com
142,784.35,customer_577@gmail.com
143,320.87,customer_607@gmail.com
144,407.1,customer_381@gmail.com
145,685.08,customer_258@gmail.com
146,180.99,customer_308@gmail.com
147,504.13,customer_562@gmail.com
148,372.99,customer_474@gmail.com
149,119.39,customer_7@gmail.com
150,696.5,customer_47@gmail.com
151,530.98,customer_12@gmail.com
152,307.19,customer_303@gmail.com
153,278.18,customer_662@gmail.com
154,147.87,customer_379@gmail.com
155,758.1,customer_338@gmail.com
156,419.72,customer_562@gmail.com
157,513.38,customer_33@gmail.com
158,379.52,customer_386@gmail.com
159,366.79,customer_111@gmail.com
160,188.34,customer_441@gmail.com
161,287.73,customer_397@gmail.com
162,175.31,customer_550@gmail.com
163,364.3,customer_364@gmail.com
164,253.53,customer_447@gmail.com
165,491.72,customer_223@gmail.com
166,59.95,customer_597@gmail.com
167,346.05,customer_89@gmail.com
168,438.56,customer_390@gmail.com
169,395.15,customer_383@gmail.com
170,148.84,customer_574@gmail.com
171,314.06,customer_287@gmail.com
172,419.32,customer_590@gmail.com
173,250.06,customer_119@gmail.com
174,575.98,customer_627@gmail.com
175,320.92,customer_84@gmail.com
176,480.54,customer_486@gmail.com
177,450.61,customer_300@gmail.com
178,263.82,customer_146@gmail.com
179,366.89,customer_104@gmail.com
180,466.49,customer_157@gmail.com
181,550.26,customer_238@gmail.com
182,461.16,customer_648@gmail.com
183,352.25,customer_143@gmail.com
184,433.41,customer_570@gmail.com
185,453.68,customer_336@gmail.com
186,364.3,customer_30@gmail.com
187,172.99,customer_249@gmail.com
188,462.83,customer_491@gmail.com
189,289.33,customer_372@gmail.com
190,271.96,customer_548@gmail.com
191,442.83,customer_64@gmail.com
192,654.59,customer_364@gmail.com
193,234.21,customer_183@gmail.com
194,462.84,customer_530@gmail.com
195,535.71,customer_192@gmail.com
196,525.51,customer_28@gmail.com
197,156.34,customer_23@gmail.com
198,760.23,customer_521@gmail.com
199,364.2,customer_317@gmail.com
